census,msoa,cob,count
2001,E02000158,EE,42
2001,E02000158,Other,358
2001,E02000158,rWE,106
2001,E02000158,UK,7044
2001,E02000159,EE,19
2001,E02000159,Other,279
2001,E02000159,rWE,124
2001,E02000159,UK,5916
2001,E02000160,EE,26
2001,E02000160,Other,245
2001,E02000160,rWE,83
2001,E02000160,UK,7033
2001,E02000161,EE,24
2001,E02000161,Other,407
2001,E02000161,rWE,97
2001,E02000161,UK,7408
2001,E02000162,EE,13
2001,E02000162,Other,265
2001,E02000162,rWE,78
2001,E02000162,UK,5962
2001,E02000163,EE,9
2001,E02000163,Other,323
2001,E02000163,rWE,85
2001,E02000163,UK,7194
2001,E02000164,EE,13
2001,E02000164,Other,158
2001,E02000164,rWE,66
2001,E02000164,UK,5807
2001,E02000165,EE,18
2001,E02000165,Other,203
2001,E02000165,rWE,76
2001,E02000165,UK,6826
2001,E02000166,EE,151
2001,E02000166,Other,1104
2001,E02000166,rWE,380
2001,E02000166,UK,5659
2001,E02000167,EE,166
2001,E02000167,Other,1724
2001,E02000167,rWE,620
2001,E02000167,UK,4991
2001,E02000168,EE,118
2001,E02000168,Other,1075
2001,E02000168,rWE,365
2001,E02000168,UK,5637
2001,E02000169,EE,238
2001,E02000169,Other,1965
2001,E02000169,rWE,720
2001,E02000169,UK,4183
2001,E02000170,EE,260
2001,E02000170,Other,1551
2001,E02000170,rWE,472
2001,E02000170,UK,4773
2001,E02000171,EE,169
2001,E02000171,Other,1457
2001,E02000171,rWE,450
2001,E02000171,UK,5123
2001,E02000172,EE,212
2001,E02000172,Other,1903
2001,E02000172,rWE,354
2001,E02000172,UK,6039
2001,E02000173,EE,247
2001,E02000173,Other,2233
2001,E02000173,rWE,725
2001,E02000173,UK,3975
2001,E02000174,EE,159
2001,E02000174,Other,1471
2001,E02000174,rWE,381
2001,E02000174,UK,5107
2001,E02000175,EE,174
2001,E02000175,Other,1692
2001,E02000175,rWE,467
2001,E02000175,UK,4628
2001,E02000176,EE,197
2001,E02000176,Other,1468
2001,E02000176,rWE,592
2001,E02000176,UK,3471
2001,E02000177,EE,136
2001,E02000177,Other,1744
2001,E02000177,rWE,359
2001,E02000177,UK,5514
2001,E02000178,EE,221
2001,E02000178,Other,1664
2001,E02000178,rWE,379
2001,E02000178,UK,4619
2001,E02000179,EE,207
2001,E02000179,Other,1477
2001,E02000179,rWE,393
2001,E02000179,UK,3529
2001,E02000180,EE,139
2001,E02000180,Other,1490
2001,E02000180,rWE,426
2001,E02000180,UK,4984
2001,E02000181,EE,266
2001,E02000181,Other,1762
2001,E02000181,rWE,637
2001,E02000181,UK,4355
2001,E02000182,EE,204
2001,E02000182,Other,2051
2001,E02000182,rWE,365
2001,E02000182,UK,3151
2001,E02000183,EE,113
2001,E02000183,Other,1604
2001,E02000183,rWE,380
2001,E02000183,UK,5023
2001,E02000184,EE,112
2001,E02000184,Other,1753
2001,E02000184,rWE,362
2001,E02000184,UK,4744
2001,E02000185,EE,320
2001,E02000185,Other,1894
2001,E02000185,rWE,391
2001,E02000185,UK,4433
2001,E02000186,EE,127
2001,E02000186,Other,1426
2001,E02000186,rWE,331
2001,E02000186,UK,3784
2001,E02000187,EE,161
2001,E02000187,Other,2170
2001,E02000187,rWE,308
2001,E02000187,UK,4947
2001,E02000188,EE,165
2001,E02000188,Other,2087
2001,E02000188,rWE,302
2001,E02000188,UK,4614
2001,E02000189,EE,119
2001,E02000189,Other,2178
2001,E02000189,rWE,417
2001,E02000189,UK,2853
2001,E02000190,EE,143
2001,E02000190,Other,2069
2001,E02000190,rWE,650
2001,E02000190,UK,4208
2001,E02000191,EE,135
2001,E02000191,Other,1873
2001,E02000191,rWE,591
2001,E02000191,UK,3405
2001,E02000192,EE,136
2001,E02000192,Other,1531
2001,E02000192,rWE,333
2001,E02000192,UK,3948
2001,E02000193,EE,117
2001,E02000193,Other,1646
2001,E02000193,rWE,512
2001,E02000193,UK,3609
2001,E02000194,EE,105
2001,E02000194,Other,1229
2001,E02000194,rWE,233
2001,E02000194,UK,5728
2001,E02000195,EE,69
2001,E02000195,Other,1826
2001,E02000195,rWE,225
2001,E02000195,UK,5669
2001,E02000196,EE,54
2001,E02000196,Other,1723
2001,E02000196,rWE,130
2001,E02000196,UK,4169
2001,E02000197,EE,97
2001,E02000197,Other,2204
2001,E02000197,rWE,160
2001,E02000197,UK,5097
2001,E02000198,EE,85
2001,E02000198,Other,1642
2001,E02000198,rWE,125
2001,E02000198,UK,5238
2001,E02000199,EE,67
2001,E02000199,Other,1660
2001,E02000199,rWE,173
2001,E02000199,UK,5473
2001,E02000200,EE,151
2001,E02000200,Other,1292
2001,E02000200,rWE,155
2001,E02000200,UK,5569
2001,E02000201,EE,85
2001,E02000201,Other,1490
2001,E02000201,rWE,101
2001,E02000201,UK,5440
2001,E02000202,EE,73
2001,E02000202,Other,2916
2001,E02000202,rWE,149
2001,E02000202,UK,5347
2001,E02000203,EE,138
2001,E02000203,Other,2320
2001,E02000203,rWE,77
2001,E02000203,UK,4707
2001,E02000204,EE,49
2001,E02000204,Other,3493
2001,E02000204,rWE,118
2001,E02000204,UK,5230
2001,E02000205,EE,61
2001,E02000205,Other,966
2001,E02000205,rWE,81
2001,E02000205,UK,6359
2001,E02000206,EE,114
2001,E02000206,Other,1985
2001,E02000206,rWE,136
2001,E02000206,UK,6049
2001,E02000207,EE,67
2001,E02000207,Other,1233
2001,E02000207,rWE,96
2001,E02000207,UK,6335
2001,E02000208,EE,142
2001,E02000208,Other,2345
2001,E02000208,rWE,100
2001,E02000208,UK,4693
2001,E02000209,EE,54
2001,E02000209,Other,2186
2001,E02000209,rWE,98
2001,E02000209,UK,5297
2001,E02000210,EE,63
2001,E02000210,Other,1047
2001,E02000210,rWE,141
2001,E02000210,UK,6461
2001,E02000211,EE,48
2001,E02000211,Other,768
2001,E02000211,rWE,99
2001,E02000211,UK,6868
2001,E02000212,EE,58
2001,E02000212,Other,2147
2001,E02000212,rWE,93
2001,E02000212,UK,4806
2001,E02000213,EE,182
2001,E02000213,Other,2082
2001,E02000213,rWE,144
2001,E02000213,UK,5077
2001,E02000214,EE,52
2001,E02000214,Other,621
2001,E02000214,rWE,105
2001,E02000214,UK,4950
2001,E02000215,EE,181
2001,E02000215,Other,1689
2001,E02000215,rWE,250
2001,E02000215,UK,6850
2001,E02000216,EE,152
2001,E02000216,Other,1545
2001,E02000216,rWE,169
2001,E02000216,UK,4375
2001,E02000217,EE,81
2001,E02000217,Other,1085
2001,E02000217,rWE,147
2001,E02000217,UK,5750
2001,E02000218,EE,98
2001,E02000218,Other,831
2001,E02000218,rWE,87
2001,E02000218,UK,5237
2001,E02000219,EE,40
2001,E02000219,Other,660
2001,E02000219,rWE,107
2001,E02000219,UK,6489
2001,E02000220,EE,146
2001,E02000220,Other,1226
2001,E02000220,rWE,214
2001,E02000220,UK,5740
2001,E02000221,EE,83
2001,E02000221,Other,1019
2001,E02000221,rWE,132
2001,E02000221,UK,6183
2001,E02000222,EE,90
2001,E02000222,Other,932
2001,E02000222,rWE,158
2001,E02000222,UK,5868
2001,E02000223,EE,201
2001,E02000223,Other,907
2001,E02000223,rWE,75
2001,E02000223,UK,6727
2001,E02000224,EE,55
2001,E02000224,Other,949
2001,E02000224,rWE,142
2001,E02000224,UK,6001
2001,E02000225,EE,40
2001,E02000225,Other,371
2001,E02000225,rWE,50
2001,E02000225,UK,6910
2001,E02000226,EE,41
2001,E02000226,Other,683
2001,E02000226,rWE,126
2001,E02000226,UK,6598
2001,E02000227,EE,64
2001,E02000227,Other,891
2001,E02000227,rWE,129
2001,E02000227,UK,10346
2001,E02000228,EE,22
2001,E02000228,Other,677
2001,E02000228,rWE,132
2001,E02000228,UK,6422
2001,E02000229,EE,51
2001,E02000229,Other,386
2001,E02000229,rWE,49
2001,E02000229,UK,5361
2001,E02000230,EE,66
2001,E02000230,Other,1156
2001,E02000230,rWE,218
2001,E02000230,UK,7032
2001,E02000231,EE,59
2001,E02000231,Other,1007
2001,E02000231,rWE,179
2001,E02000231,UK,6062
2001,E02000232,EE,19
2001,E02000232,Other,351
2001,E02000232,rWE,75
2001,E02000232,UK,5421
2001,E02000233,EE,32
2001,E02000233,Other,509
2001,E02000233,rWE,90
2001,E02000233,UK,5179
2001,E02000234,EE,46
2001,E02000234,Other,749
2001,E02000234,rWE,143
2001,E02000234,UK,6359
2001,E02000235,EE,31
2001,E02000235,Other,526
2001,E02000235,rWE,96
2001,E02000235,UK,5554
2001,E02000236,EE,25
2001,E02000236,Other,463
